index,box_id,type,item_id,item_value,rate
int,int,reward_type,int,int,int
1,1,9,113001,1,10
2,1,9,114001,1,5
3,1,9,114002,1,5
4,1,9,112001,1,20
5,1,9,112002,1,20
6,1,9,112003,1,20
7,1,9,112004,1,20
8,1,9,112005,1,20
9,1,9,112006,1,25
10,1,9,112007,1,25
11,1,9,112008,1,25
12,1,9,112009,1,25
13,1,9,112010,1,30
14,2,9,113001,1,10
15,2,9,114001,1,10
16,2,9,114002,1,5
17,2,9,112001,1,20
18,2,9,112002,1,20
19,2,9,112003,1,20
20,2,9,112004,1,20
21,2,9,112005,1,20
22,2,9,112006,1,25
23,2,9,112007,1,25
24,2,9,112008,1,25
25,2,9,112009,1,25
26,2,9,112010,1,30
27,3,10,1,1,10
28,3,10,2,1,10
29,3,10,3,1,10
30,3,10,4,1,10
31,3,10,5,1,10
32,3,10,6,1,10
33,3,10,7,1,10
34,3,10,8,1,10
35,3,10,9,1,10
36,3,10,10,1,10
37,4,9,113001,1,100
38,5,9,113002,1,100
39,6,9,114001,1,100
40,7,9,114002,1,100
41,8,1,0,10000,10
42,8,8,401001,1,20
43,8,8,5011001,1,30
44,8,8,2201001,1,40
45,9,2,0,10,10
46,9,8,401002,2,20
47,9,8,8030001,2,30
48,9,8,2202002,2,40
49,10,3,0,25,10
50,10,8,401005,3,20
51,10,8,8040001,3,30
52,10,8,2203003,3,40
